         3705887 function calls (3631411 primitive calls) in 20.624 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    293/1    0.022    0.000   20.639   20.639 {built-in method builtins.exec}
        1    2.611    2.611   20.639   20.639 estimate_lyapunov_exponent.py:17(<module>)
       10    0.000    0.000    7.158    0.716 pyplot.py:694(savefig)
       10    0.000    0.000    7.158    0.716 figure.py:1471(savefig)
       10    0.000    0.000    7.157    0.716 backend_qt5agg.py:221(print_figure)
 1241/921    0.061    0.000    5.504    0.006 axis.py:67(__init__)
       10    0.001    0.000    5.370    0.537 backend_bases.py:2095(print_figure)
       20    0.001    0.000    5.339    0.267 backend_agg.py:453(draw)
  2026/20    0.019    0.000    5.309    0.265 artist.py:61(draw_wrapper)
       20    0.001    0.000    5.308    0.265 figure.py:1091(draw)
    60/20    0.002    0.000    5.257    0.263 image.py:120(_draw_list_compositing_images)
       40    0.003    0.000    5.255    0.131 _base.py:2346(draw)
       10    0.000    0.000    5.252    0.525 backend_agg.py:544(print_png)
      360    0.017    0.000    4.883    0.014 axis.py:729(cla)
  520/360    0.010    0.000    4.670    0.013 axis.py:767(reset_ticks)
       40    0.010    0.000    4.425    0.111 _base.py:968(cla)
       20    0.001    0.000    3.589    0.179 figure.py:940(add_subplot)
       20    0.001    0.000    3.583    0.179 _subplots.py:23(__init__)
       20    0.003    0.000    3.568    0.178 _base.py:432(__init__)
     3723    0.266    0.000    3.556    0.001 lines.py:297(__init__)
      500    0.129    0.000    3.556    0.007 numerical_integrators.py:24(euler)
      500    3.104    0.006    3.427    0.007 velocity_field.py:52(vel)
      160    0.001    0.000    3.005    0.019 spines.py:166(cla)
  631/471    0.007    0.000    2.818    0.006 axis.py:2055(_get_tick)
  610/450    0.006    0.000    2.697    0.006 axis.py:1724(_get_tick)
       80    0.006    0.000    2.400    0.030 axis.py:1128(draw)
    16038    0.209    0.000    2.297    0.000 markers.py:199(_recache)
       10    0.000    0.000    2.151    0.215 pyplot.py:669(clf)
       11    0.001    0.000    2.151    0.196 figure.py:1056(clf)
       10    0.000    0.000    2.140    0.214 pyplot.py:2250(colorbar)
       10    0.000    0.000    2.139    0.214 figure.py:1583(colorbar)
       10    0.000    0.000    1.992    0.199 pyplot.py:3231(pcolormesh)
       40    0.000    0.000    1.920    0.048 pyplot.py:932(gca)
       50    0.000    0.000    1.919    0.038 figure.py:1327(gca)
       10    0.000    0.000    1.787    0.179 backend_qt5agg.py:170(draw)
       10    0.001    0.000    1.702    0.170 colorbar.py:1160(make_axes_gridspec)
       40    0.006    0.000    1.693    0.042 collections.py:1904(draw)
       10    1.691    0.169    1.691    0.169 {built-in method matplotlib._png.write_png}
       40    1.615    0.040    1.626    0.041 {method 'draw_quad_mesh' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      722    0.052    0.000    1.439    0.002 text.py:739(draw)
5204/3684    0.034    0.000    1.407    0.000 spines.py:404(get_spine_transform)
     8019    0.081    0.000    1.386    0.000 markers.py:248(set_marker)
5444/3684    0.005    0.000    1.378    0.000 spines.py:148(_ensure_position_is_set)
      240    0.003    0.000    1.374    0.006 spines.py:359(set_position)
       20    0.001    0.000    1.189    0.059 _base.py:620(_init_axis)
      904    0.030    0.000    1.164    0.001 text.py:329(_get_layout)
     8019    0.037    0.000    1.146    0.000 markers.py:223(set_fillstyle)
       80    0.010    0.000    1.105    0.014 axis.py:961(_update_ticks)
     4296    0.017    0.000    1.099    0.000 markers.py:163(__init__)
      240    0.003    0.000    1.039    0.004 backend_agg.py:215(get_text_width_height_descent)
      110    0.003    0.000    1.023    0.009 axis.py:1317(get_major_ticks)
  610/530    0.020    0.000    0.997    0.002 axis.py:414(_get_tick1line)
  631/551    0.013    0.000    0.982    0.002 axis.py:546(_get_tick1line)
       30    0.001    0.000    0.981    0.033 mathtext.py:3245(parse)
       80    0.001    0.000    0.961    0.012 axis.py:969(<listcomp>)
      522    0.004    0.000    0.960    0.002 axis.py:908(iter_ticks)
  610/530    0.013    0.000    0.924    0.002 axis.py:425(_get_tick2line)
      442    0.008    0.000    0.923    0.002 axis.py:249(draw)
  631/551    0.013    0.000    0.921    0.002 axis.py:561(_get_tick2line)
    17970    0.154    0.000    0.912    0.000 path.py:103(__init__)
    334/4    0.004    0.000    0.889    0.222 <frozen importlib._bootstrap>:958(_find_and_load)
    334/4    0.003    0.000    0.889    0.222 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    322/5    0.004    0.000    0.888    0.178 <frozen importlib._bootstrap>:641(_load_unlocked)
    269/4    0.002    0.000    0.887    0.222 <frozen importlib._bootstrap_external>:672(exec_module)
    433/5    0.001    0.000    0.887    0.177 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
    39070    0.171    0.000    0.860    0.000 transforms.py:87(__init__)
     3723    0.014    0.000    0.790    0.000 lines.py:1156(set_marker)
    30481    0.111    0.000    0.781    0.000 transforms.py:1662(__init__)
     3494    0.078    0.000    0.766    0.000 font_manager.py:674(__init__)
       80    0.000    0.000    0.725    0.009 spines.py:154(register_axis)
5610/2250    0.012    0.000    0.721    0.000 _base.py:688(get_xaxis_transform)
     3723    0.014    0.000    0.714    0.000 lines.py:548(set_fillstyle)
5799/2355    0.014    0.000    0.703    0.000 _base.py:768(get_yaxis_transform)
    39073    0.503    0.000    0.689    0.000 weakref.py:102(__init__)
    17970    0.244    0.000    0.606    0.000 path.py:212(_update_values)
      631    0.018    0.000    0.597    0.001 axis.py:575(_get_gridline)
   353/24    0.001    0.000    0.593    0.025 {built-in method builtins.__import__}
      610    0.018    0.000    0.584    0.001 axis.py:440(_get_gridline)
    58184    0.529    0.000    0.531    0.000 {built-in method numpy.core.multiarray.array}
     9897    0.049    0.000    0.513    0.000 transforms.py:1808(__init__)
      770    0.017    0.000    0.503    0.001 artist.py:667(set_clip_path)
     1142    0.004    0.000    0.488    0.000 font_manager.py:1443(findfont)
     6192    0.050    0.000    0.486    0.000 transforms.py:1972(scale)
        1    0.001    0.001    0.486    0.486 pyplot.py:17(<module>)
       80    0.002    0.000    0.486    0.006 axis.py:868(set_clip_path)
     8974    0.033    0.000    0.485    0.000 transforms.py:128(invalidate)
     1142    0.020    0.000    0.484    0.000 font_manager.py:1228(findfont)
      442    0.043    0.000    0.469    0.001 lines.py:769(draw)
18555/8974    0.134    0.000    0.453    0.000 transforms.py:139(_invalidate_internal)
        1    0.001    0.001    0.451    0.451 mathtext.py:2301(__init__)
       15    0.001    0.000    0.449    0.030 __init__.py:1(<module>)
9347/8585    0.029    0.000    0.449    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
       40    0.002    0.000    0.447    0.011 axis.py:641(__init__)
       10    0.000    0.000    0.436    0.044 colorbar.py:1333(colorbar_factory)
       10    0.000    0.000    0.436    0.044 colorbar.py:898(__init__)
       10    0.001    0.000    0.435    0.044 colorbar.py:261(__init__)
       10    0.000    0.000    0.427    0.043 colorbar.py:342(draw_all)
       10    0.001    0.000    0.427    0.043 mathtext.py:888(__init__)
      320    0.002    0.000    0.426    0.001 axis.py:191(set_clip_path)
     1000    0.009    0.000    0.406    0.000 patches.py:216(get_transform)
  476/466    0.003    0.000    0.405    0.001 pyparsing.py:1175(parseString)
       13    0.156    0.012    0.400    0.031 pyparsing.py:3415(oneOf)
 9410/452    0.057    0.000    0.393    0.001 pyparsing.py:1128(_parseCache)
      631    0.016    0.000    0.393    0.001 axis.py:531(_get_text2)
 9556/466    0.076    0.000    0.389    0.001 pyparsing.py:1040(_parseNoCache)
     2682    0.046    0.000    0.383    0.000 text.py:189(__init__)
 2976/466    0.019    0.000    0.381    0.001 pyparsing.py:2524(parseImpl)
       10    0.001    0.000    0.380    0.038 colorbar.py:416(_config_axes)
131684/117386    0.239    0.000    0.371    0.000 artist.py:268(stale)
   172092    0.348    0.000    0.348    0.000 __init__.py:934(__getitem__)
       10    0.000    0.000    0.344    0.034 colorbar.py:370(update_ticks)
      800    0.002    0.000    0.339    0.000 patches.py:720(get_patch_transform)
      800    0.020    0.000    0.337    0.000 patches.py:704(_update_patch_transform)
      430    0.005    0.000    0.323    0.001 font_manager.py:914(set_fontconfig_pattern)
      454    0.003    0.000    0.322    0.001 fontconfig_pattern.py:119(parse)
      430    0.002    0.000    0.311    0.001 font_manager.py:717(_parse_fontconfig_pattern)
      610    0.014    0.000    0.311    0.001 axis.py:381(_get_text1)
       20    0.001    0.000    0.306    0.015 axis.py:1617(set_ticks)
      631    0.014    0.000    0.291    0.000 axis.py:516(_get_text1)
      191    0.003    0.000    0.288    0.002 axis.py:1281(_copy_tick_props)
     4442    0.012    0.000    0.287    0.000 transforms.py:1173(__add__)
    18170    0.038    0.000    0.284    0.000 {method 'all' of 'numpy.ndarray' objects}
     4522    0.022    0.000    0.277    0.000 transforms.py:2471(composite_transform_factory)
    27248    0.237    0.000    0.273    0.000 cbook.py:687(is_string_like)
    24268    0.269    0.000    0.269    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    34236    0.038    0.000    0.268    0.000 numeric.py:463(asarray)
       80    0.003    0.000    0.266    0.003 axis.py:1067(_get_tick_bboxes)
      610    0.011    0.000    0.264    0.000 axis.py:398(_get_text2)
      442    0.011    0.000    0.262    0.001 text.py:932(get_window_extent)
     4562    0.032    0.000    0.259    0.000 transforms.py:2290(__init__)
    24354    0.123    0.000    0.253    0.000 weakref.py:242(values)
     7868    0.165    0.000    0.249    0.000 artist.py:95(__init__)
    18170    0.020    0.000    0.246    0.000 _methods.py:40(_all)
       20    0.001    0.000    0.245    0.012 mathtext.py:988(__init__)
      573    0.010    0.000    0.241    0.000 lines.py:1310(update_from)
     1683    0.074    0.000    0.241    0.000 lines.py:670(recache)
     9528    0.056    0.000    0.231    0.000 transforms.py:163(set_children)
      462    0.019    0.000    0.225    0.000 backend_agg.py:183(draw_text)
     1380    0.015    0.000    0.216    0.000 markers.py:721(_set_tickdown)
     1000    0.193    0.000    0.216    0.000 velocity_field.py:40(_f)
     6671    0.045    0.000    0.214    0.000 numeric.py:2390(identity)
     1484    0.015    0.000    0.210    0.000 markers.py:701(_set_tickleft)
       50    0.001    0.000    0.209    0.004 ticker.py:1784(__call__)
       50    0.001    0.000    0.208    0.004 ticker.py:1788(tick_values)
       50    0.008    0.000    0.205    0.004 ticker.py:1733(_raw_ticks)
        1    0.000    0.000    0.204    0.204 velocity_field.py:24(<module>)
        1    0.000    0.000    0.203    0.203 __init__.py:106(<module>)
     1484    0.015    0.000    0.197    0.000 markers.py:707(_set_tickright)
  318/316    0.002    0.000    0.197    0.001 <frozen importlib._bootstrap>:553(module_from_spec)
        1    0.000    0.000    0.194    0.194 __init__.py:101(<module>)
        1    0.000    0.000    0.194    0.194 colorbar.py:20(<module>)
     1380    0.014    0.000    0.188    0.000 markers.py:715(_set_tickup)
     6987    0.056    0.000    0.186    0.000 artist.py:851(update)
     1224    0.010    0.000    0.182    0.000 transforms.py:1411(transform_point)
  970/960    0.003    0.000    0.181    0.000 pyparsing.py:3004(parseImpl)
  968/918    0.005    0.000    0.178    0.000 pyparsing.py:2968(parseImpl)
    44/43    0.000    0.000    0.177    0.004 <frozen importlib._bootstrap_external>:919(create_module)
    44/43    0.171    0.004    0.177    0.004 {built-in method _imp.create_dynamic}
 1000/920    0.004    0.000    0.175    0.000 pyparsing.py:2912(parseImpl)
    39073    0.142    0.000    0.171    0.000 weakref.py:288(update)
     1241    0.004    0.000    0.171    0.000 lines.py:983(get_path)
       10    0.000    0.000    0.170    0.017 mathtext.py:675(__init__)
    15151    0.065    0.000    0.167    0.000 weakref.py:165(__setitem__)
        1    0.000    0.000    0.165    0.165 add_newdocs.py:10(<module>)
      490    0.004    0.000    0.164    0.000 ticker.py:2317(__init__)
     1284    0.012    0.000    0.162    0.000 transforms.py:1315(transform)
      490    0.006    0.000    0.159    0.000 ticker.py:1630(__init__)
169635/169633    0.126    0.000    0.159    0.000 {built-in method builtins.isinstance}
      160    0.010    0.000    0.157    0.001 patches.py:523(draw)
      980    0.014    0.000    0.154    0.000 ticker.py:1703(set_params)
     6526    0.028    0.000    0.152    0.000 font_manager.py:970(_normalize_font_family)
     5151    0.014    0.000    0.151    0.000 re.py:286(_compile)
1148/1095    0.070    0.000    0.145    0.000 {built-in method builtins.__build_class__}
    10816    0.142    0.000    0.142    0.000 {built-in method numpy.core.multiarray.dot}
     2522    0.016    0.000    0.141    0.000 transforms.py:2648(__init__)
      115    0.000    0.000    0.138    0.001 re.py:231(compile)
    24344    0.061    0.000    0.137    0.000 artist.py:326(pchanged)
5108/2916    0.011    0.000    0.136    0.000 transforms.py:2322(_invalidate_internal)
   177825    0.072    0.000    0.136    0.000 pyparsing.py:3433(<lambda>)
     6671    0.097    0.000    0.135    0.000 twodim_base.py:139(eye)
        1    0.000    0.000    0.134    0.134 type_check.py:3(<module>)
      114    0.002    0.000    0.134    0.001 sre_compile.py:557(compile)
        1    0.000    0.000    0.134    0.134 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.133    0.133 backend_qt5agg.py:3(<module>)
